	X13_12N_N_N_2	X13_18S_H_C_0	X13_22N_H_N_2	X13_23N_N_N_1	X13_3N_N_N_1	X13_4S_H_C_2	X13_6N_N_N_1	X13_8N_N_N_0	X14_15N_H_N_0	X14_16S_H_C_1	X14_1N_H_N_1	X14_23S_N_C_1	X14_3N_N_N_1	X14_3S_N_C_1	X14_4N_H_N_2	X14_4S_H_C_2
OTU_12048	0	0	0	0	0	0	0	0	0	0.123527014842853	0	0	0.134908257965034	0	0	0.0999270586013599
OTU_1130	0	0.554113581832441	0	0.32092617363591	0	0	0.0899670617485406	0	0.0810181032006897	0.389622171061787	0.212680947438455	0	0.0719908377459684	0	0.0843065775663082	0.263650414413562
OTU_1165	0.0832602464656612	0.145641613599641	0	0.123166146060055	0.122942194860999	0.393846764795869	0	0	0.456694253585119	0.244140801682148	0.088293872179668	0.197602149319798	0	0	0.351481194764742	0
OTU_1046	0.0821972704679627	0.103314391469283	0	0.0802164353185193	0.187851833909575	0	0	0	0.144611784163371	0.366237758443611	0	0.313420906980812	0	0.202834333964113	0	0.0993428336294571
OTU_1134	0.279056238991883	0	0.0698634030980427	0.131962010252684	0.658245692526914	0.562248651421542	0.234912769565028	0	0	0	0.278533512790968	0.858071899770927	0.533537328687645	0.137052486982394	0	0
OTU_1291	0.150937803978247	0.268791349479099	1.86470128911528	0.0836374874232877	1.6742459230402	0.726070689312366	0.233696722638906	0.259451049850748	0.270156307635633	0.611508900350266	0.439462806698668	0	0	0.743194682258897	0.125973725513688	0.0988920297253429
OTU_1174	0	0.0736782952226472	0	0	0	0	0	0	0	0	0	0	0.150189027131837	0	0	0
OTU_1336	0.216865714440082	0	0.240172591164251	0.221760480625293	0.087234887847461	0	0.111768337825724	0	0.0838495693964891	0	0.652207822861423	0.0896892686053349	0	0.438924895295439	0	0
OTU_1321	0	0	0.233906488880001	0.396072627864493	0	0	0.262277221293404	0	0	0.152069245338037	0.104728151373434	0	0.09750687457227	0	0	0.0996556704577029
OTU_1102	0	0	0.110889708438579	0	0.0861018994837906	0	0	0.32318894668736	0	0.0845781356299116	0	0	0	0	0	0
OTU_1285	0.111145583110765	0.298133434336781	0	0	0.147810681202333	0.111264442867129	0	0.253876077619732	0.139331894909776	0.0888470191038025	0	0	0.0837871018442512	0.137525428309572	0.0855084385768866	0.0959508791036749
OTU_1251	0.0472500071761094	0.316760888741852	0	0.216290048280967	0.124116908901083	0	0	0.0900740481882826	0.376716664939256	0.131830572015329	0.214235007343004	0.0554439288107608	0	0.14402892188462	0.184650825919281	0.299504958787985
OTU_1294	0.261652300781708	0.634756134591279	0.127462812903617	0	0	0.0838395991250365	0.0874209145505864	0.19952998676088	0	0.0920224485064973	0.292225083815784	0	0	0	0.274465785915202	0.487362689340406
OTU_1342	0.0902805083559203	6.38347435933007	0.380731996004351	1.7807280169913	1.2851944722682	5.73394814286208	0.622622602554453	0.214795713463524	2.23256273453796	3.6139833548194	2.34474462762413	0.288376847801059	0.0692359259210871	0.103562921498243	0.260435520514756	5.41378396962365
OTU_1348	0	0	0.0786109167028681	0	0.129958239991995	0	0.333087963653188	0	0	0.196884971085426	0	0	0.0942091554077078	0	0.0843355771514627	0.290484802055504
OTU_1299	0	0	0	0	0	0	0	0	0	0	0.182887519427608	0	0.139427911475294	0	0	0.139446691964757
OTU_136	0	0.650480739847828	0.286917960200556	0.291947454018182	0	0.308744133541596	0.213653138078957	0.0685651946631469	0.817987265473133	0.708753498641286	0	0.234357492893795	0.0738366266824586	0	0.817919965236978	0.387714725271392
OTU_12739	0.13471836748073	0.271118667719403	0.141796870564803	0	0	0	0	0.0911597025989161	0.280848369763865	0.212099721332981	0	0	0	0.114047553967822	0	0.215365201393269
OTU_1319	0	0.164200965711567	0	0.151383832700704	0.0850714410469615	0	0	0	0	0	0.177315455247288	0.0888162708993336	0	0	0.207809079703017	0.199754940466686
OTU_117	0.63307893448568	0.742991683016793	0.199674319774289	0.171899128756642	0.639139027161274	0.364370210665907	1.56540375026374	0	3.60012287875087	2.28366270760934	2.85558665655872	0.122534150259738	0	0.349625913640034	1.68733872112699	0.926704691277926
OTU_1385	0	0.353789369323844	0.238147203332004	0.126608517621256	0.110104045533367	0.150401739812335	1.71862270927031	0.954865376313332	1.60601851302049	0.371220578244019	3.58634870403547	0.182308604649984	0.12380400325574	0.0903945600318281	2.60359196899885	0.700798125427387
OTU_1386	0	0.485522700902468	0.540621795899303	0	0.0776682420594966	0.818721088107887	0.518958397252755	0	0.272309225215054	0.312066052875183	0	0.301426882880593	0	0.0677456839001114	0.322267984429068	0.464308284958985
OTU_1092	0	0	0.0876691510500753	0.104593393457377	0	0.380856545158551	0.272494216684149	0.546032268304342	0.0928911967301701	0.0763961038019552	0.0788716519959011	0.476207619944454	0.321763503446051	0.108693181897171	0	0.245614171195049
OTU_1345	0	0.17472649991532	0	0.171887115963866	0	0.822605832333279	0	0.229863227569784	0.150314937205528	0	0.0969573016775174	0	0	0	0	0
OTU_1389	0	0	0.22679653127182	0	0	0	0.114600862920811	0	0	0	0	0	0.139427911475294	0	0	0.139446691964757
OTU_1136	0	0	0	0.243194253133441	0.126917584894021	0.0898525920530524	0.0974905938005882	0.178557331562136	0	0.267983799148665	0	0.446374850669964	0	0	0	0
